"country","tweet_count","population","tweets_per_capita"
"Afghanistan",101,42239854,2.39110674956405e-06
"Albania",73,2745972,2.65843934315426e-05
"Algeria",49,45606480,1.07440872437426e-06
"Angola",50,36684202,1.36298453486872e-06
"Antigua and Barbuda",1,94298,1.06046787842796e-05
"Argentina",2323,46654581,4.97914663513964e-05
"Armenia",134,2777970,4.8236662022988e-05
"Aruba",2,106277,1.88187472359965e-05
"Australia",9335,26638544,0.000350432065656441
"Austria",1389,9132383,0.000152096117738382
"Azerbaijan",403,10112555,3.98514519822142e-05
"Bahrain",213,1485509,0.000143385196589183
"Bangladesh",2206,172954319,1.27548130208879e-05
"Barbados",31,281995,0.000109931027145871
"Belarus",8,9178298,8.71621296235969e-07
"Belgium",2188,11822592,0.000185069399333073
"Belize",8,410825,1.94730116229538e-05
"Benin",2,13712828,1.45848835849177e-07
"Bermuda",1,63489,1.57507599741688e-05
"Bolivia",231,12388571,1.86462183572262e-05
"Bosnia and Herzegovina",225,3210847,7.00749677577287e-05
"Brazil",4522,216422446,2.08943207304847e-05
"Bulgaria",125,6430370,1.94390058425876e-05
"Burkina Faso",16,23251485,6.88128091603612e-07
"Cambodia",71,16944826,4.190069582302e-06
"Cameroon",93,28647293,3.24638003318499e-06
"Canada",17311,40097761,0.000431719865854854
"Chad",92,18278568,5.03321704413606e-06
"Chile",2201,19629590,0.00011212664146322
"China",580,1410710000,4.11140489540728e-07
"Colombia",2301,52085168,4.417764381599e-05
"Costa Rica",815,5212173,0.000156364725422583
"Croatia",24,3853200,6.22858922454064e-06
"Cuba",973,11194449,8.69180787727918e-05
"Curacao",2,147862,1.35261257118124e-05
"Cyprus",161,1260138,0.000127763784601369
"Denmark",223,5946952,3.7498200758977e-05
"Djibouti",9,1136455,7.91936328319203e-06
"Dominica",2,73040,2.7382256297919e-05
"Dominican Republic",562,11332972,4.95898163341443e-05
"Ecuador",716,18190484,3.93612396459599e-05
"El Salvador",378,6364943,5.93878059866365e-05
"Estonia",82,1366188,6.00210219969726e-05
"Ethiopia",336,126527060,2.65555842362891e-06
"Faroe Islands",5,53270,9.38614604843251e-05
"Finland",1440,5584264,0.000257867464718717
"France",20464,68170228,0.000300189695712914
"Gabon",1,2436566,4.10413672356915e-07
"Georgia",1820,3760365,0.000483995569579017
"Germany",24178,84482267,0.000286190236822125
"Ghana",291,34121985,8.52822601029805e-06
"Greece",1089,10361295,0.000105102692279295
"Greenland",38,56865,0.000668249362525279
"Grenada",19,126183,0.000150574958591886
"Guam",4,172952,2.31278042462649e-05
"Guatemala",393,17602431,2.23264616120353e-05
"Guinea",1,14190612,7.04691242350929e-08
"Guyana",21,813834,2.58037879960778e-05
"Haiti",112,11724763,9.55243189137384e-06
"Honduras",392,10593798,3.70027821938836e-05
"Hungary",174,9589872,1.81441420698837e-05
"Iceland",109,393600,0.000276930894308943
"India",18475,1428627663,1.29319909438153e-05
"Indonesia",633,277534122,2.28080062890429e-06
"Iraq",349,45504560,7.669561028609e-06
"Ireland",2808,5262382,0.000533598663114916
"Isle of Man",3,84710,3.54149451068351e-05
"Israel",724,9756700,7.42054178154499e-05
"Italy",11048,58761146,0.000188015393709306
"Jamaica",157,2825544,5.55645213806616e-05
"Japan",616,124516650,4.94712956058487e-06
"Jordan",36,11337052,3.17542867405036e-06
"Kazakhstan",19,19900177,9.54765377212474e-07
"Kenya",885,55100586,1.60615351713319e-05
"Kosovo",46,1756374,2.61903216513112e-05
"Kuwait",106,4310108,2.45933512570915e-05
"Latvia",34,1881750,1.80682874983393e-05
"Lebanon",467,5353930,8.72256454604375e-05
"Liberia",68,5418377,1.25498834798686e-05
"Libya",107,6888388,1.55333874921099e-05
"Liechtenstein",4,39584,0.000101050929668553
"Lithuania",158,2871897,5.50159006398906e-05
"Luxembourg",165,668606,0.000246782110839568
"Madagascar",2,30325732,6.59505927177619e-08
"Malaysia",1038,34308525,3.02548710561005e-05
"Malta",119,553214,0.000215106631430152
"Mauritius",6,1261041,4.75797376929061e-06
"Mexico",5829,128455567,4.53775584517875e-05
"Moldova",12,2486891,4.82530195332244e-06
"Mongolia",174,3447157,5.04763780703925e-05
"Montenegro",6,616177,9.73746180074881e-06
"Morocco",169,37840044,4.4661681683034e-06
"Myanmar",40,54577997,7.32896078982158e-07
"Namibia",8,2604172,3.07199370855688e-06
"Nepal",169,30896590,5.46985929515199e-06
"Netherlands",8544,17879488,0.000477866032852842
"New Caledonia",4,267940,1.49287153840412e-05
"New Zealand",653,5223100,0.000125021538932818
"Nicaragua",221,7046310,3.13639337468831e-05
"Niger",12,27202843,4.41130362734513e-07
"Nigeria",1087,223804632,4.85691466832554e-06
"Northern Mariana Islands",1,49796,2.0081934291911e-05
"Norway",1029,5519594,0.000186426755301205
"Oman",73,4644384,1.5717907907701e-05
"Pakistan",4229,240485658,1.75852482645763e-05
"Panama",133,4468087,2.97666540512752e-05
"Papua New Guinea",52,10329931,5.03391552179777e-06
"Paraguay",135,6861524,1.96749293597166e-05
"Peru",965,34352719,2.80909351018183e-05
"Philippines",331,117337368,2.82092572589493e-06
"Poland",359,36685849,9.78578961059345e-06
"Portugal",416,10525347,3.95236375579826e-05
"Puerto Rico",399,3205691,0.000124466144740713
"Qatar",217,2716391,7.98854067768594e-05
"Romania",66,19056116,3.46345498736469e-06
"Rwanda",101,14094683,7.16582274322878e-06
"Saudi Arabia",758,36947025,2.05158602079599e-05
"Senegal",105,17763163,5.91110941221448e-06
"Seychelles",10,119773,8.34912709876182e-05
"Sierra Leone",38,8791092,4.32255742517539e-06
"Singapore",451,5917648,7.62127115367457e-05
"Slovenia",31,2120937,1.46161814330176e-05
"Somalia",65,18143378,3.58257431444134e-06
"South Africa",1926,60414495,3.18797666023692e-05
"South Sudan",3,11088796,2.70543348439272e-07
"Spain",4248,48373336,8.78169742107511e-05
"Sri Lanka",294,22037000,1.33411988927712e-05
"Sudan",55,48109006,1.14323708953787e-06
"Suriname",10,623236,1.60452862158155e-05
"Sweden",1388,10536632,0.000131730898450283
"Switzerland",1834,8849852,0.000207235104044678
"Tajikistan",3,10143543,2.95754649041267e-07
"Thailand",387,71801279,5.38987613298643e-06
"Trinidad and Tobago",48,1534937,3.12716417677077e-05
"Tunisia",188,12458223,1.509043464706e-05
"Uganda",197,48582334,4.05497191633486e-06
"Ukraine",111,3.7e+07,3e-06
"United Arab Emirates",1059,9516871,0.000111276069624144
"United Kingdom",33746,68350000,0.000493723482077542
"Uruguay",227,3423108,6.63140046998225e-05
"Uzbekistan",14,36412350,3.84484934369795e-07
"Zambia",38,20569737,1.84737413025747e-06
"Zimbabwe",60,16665409,3.60027167650071e-06
